"slider_crank_v2"

"Time      "	".JOINT_3.Element_Force.X"	".JOINT_3.Element_Force.Y"	".JOINT_3.Element_Force.Mag"
9.085185e-02	2.510530e-02	4.577609e-01	4.584492e-01
9.100000e-02	1.824679e-02	5.106578e-01	5.109854e-01
9.153086e-02	2.258752e-02	4.971842e-01	4.976975e-01
9.200000e-02	2.720201e-02	4.567076e-01	4.575202e-01
9.267830e-02	2.548358e-02	4.472606e-01	4.479860e-01
9.300000e-02	2.351900e-02	4.429775e-01	4.436039e-01
9.400000e-02	2.377746e-02	4.422602e-01	4.429022e-01
9.500000e-02	2.432278e-02	4.438434e-01	4.445129e-01
9.600000e-02	2.439100e-02	4.501243e-01	4.507870e-01
9.700000e-02	2.258861e-02	5.031082e-01	5.036194e-01
9.800000e-02	-9.511461e-03	8.180187e-01	8.180749e-01
9.865626e-02	-1.643799e-01	2.619376e+00	2.624537e+00
9.892188e-02	-4.027602e-02	1.137526e+00	1.138243e+00
9.900000e-02	-1.043087e-02	7.267736e-01	7.268498e-01
1.000000e-01	5.192188e-02	2.199133e-01	2.259596e-01
1.002666e-01	5.504999e-02	2.230676e-01	2.297600e-01
1.006333e-01	5.254195e-02	2.199278e-01	2.261170e-01
1.010000e-01	6.675627e-04	7.039694e-01	7.039855e-01
1.014890e-01	1.529200e-02	5.335498e-01	5.337706e-01
1.017605e-01	4.016538e-02	2.201939e-01	2.238272e-01
1.020000e-01	1.623095e-02	4.469294e-01	4.472281e-01
1.023889e-01	4.579427e-02	2.199497e-01	2.246664e-01
1.027778e-01	2.421762e-02	4.651530e-01	4.657842e-01
1.030000e-01	2.257547e-02	4.784234e-01	4.789630e-01
1.036731e-01	2.843367e-02	4.181080e-01	4.190744e-01
1.040000e-01	1.853195e-02	5.247275e-01	5.250635e-01
1.043958e-01	1.842998e-02	5.303889e-01	5.307152e-01
1.050000e-01	1.001815e-02	5.476486e-01	5.477406e-01
1.053333e-01	-6.015870e-03	8.747585e-01	8.747946e-01
1.056667e-01	-1.027163e-02	8.033312e-01	8.033985e-01
1.060000e-01	-2.069195e-01	2.700544e+00	2.708459e+00
1.062500e-01	-1.042909e-01	1.693841e+00	1.697049e+00
1.067500e-01	3.374318e-02	4.257384e-01	4.270735e-01
1.070000e-01	3.640291e-02	3.752985e-01	3.770598e-01
1.076667e-01	5.013945e-02	2.200074e-01	2.256484e-01
1.080000e-01	4.560423e-02	2.761767e-01	2.799166e-01
1.086667e-01	2.212745e-02	5.165969e-01	5.170712e-01
1.090000e-01	1.291646e-02	5.457898e-01	5.459436e-01
1.100000e-01	2.765294e-02	4.349914e-01	4.358695e-01
1.106667e-01	2.694634e-02	4.471977e-01	4.480165e-01
1.110000e-01	2.793532e-02	4.349261e-01	4.358234e-01
1.113333e-01	2.413873e-02	4.685816e-01	4.692029e-01
1.116667e-01	3.074130e-02	4.180486e-01	4.191778e-01
1.120000e-01	2.487721e-02	4.801654e-01	4.808120e-01
1.130000e-01	1.842279e-02	5.816184e-01	5.819190e-01
1.136667e-01	-3.170747e-01	3.597801e+00	3.611746e+00
1.140000e-01	-1.247133e-01	1.807207e+00	1.811507e+00
1.146667e-01	3.339409e-02	3.717853e-01	3.732821e-01
1.150000e-01	2.574002e-02	4.829841e-01	4.836698e-01
1.153333e-01	2.167717e-02	4.732746e-01	4.737708e-01
1.157500e-01	5.595898e-02	2.200268e-01	2.270313e-01
1.160000e-01	2.195876e-02	5.036616e-01	5.041402e-01
1.163958e-01	1.740319e-02	5.497037e-01	5.499798e-01
1.170000e-01	3.597340e-02	3.815619e-01	3.832541e-01
1.173333e-01	3.612634e-02	3.831606e-01	3.848600e-01
1.176719e-01	5.449499e-02	2.200892e-01	2.267354e-01
1.180000e-01	2.147280e-02	4.066762e-01	4.072429e-01
1.183194e-01	1.287186e-02	5.055071e-01	5.056712e-01
1.190000e-01	-3.664742e-01	3.861205e+00	3.878568e+00
1.193333e-01	5.335011e-02	2.200997e-01	2.264732e-01
1.195926e-01	4.957239e-02	2.201335e-01	2.256462e-01
1.200000e-01	3.463363e-02	4.033789e-01	4.048632e-01
1.203333e-01	2.604720e-02	4.716631e-01	4.723818e-01
1.210000e-01	2.878128e-02	4.534794e-01	4.543919e-01
1.213568e-01	2.775278e-02	4.585487e-01	4.593881e-01
1.220000e-01	2.502569e-02	4.913585e-01	4.919957e-01
1.230000e-01	-1.203994e-01	1.731771e+00	1.735952e+00
1.233438e-01	-8.471472e-04	6.946072e-01	6.946079e-01
1.236787e-01	2.686755e-02	3.953844e-01	3.962962e-01
1.240000e-01	2.117996e-02	5.460917e-01	5.465027e-01
1.244528e-01	2.729044e-02	4.792220e-01	4.799985e-01
1.247264e-01	2.280486e-02	5.094131e-01	5.099235e-01
1.250000e-01	2.154605e-02	5.225952e-01	5.230394e-01
1.260000e-01	-3.672960e-02	1.004957e+00	1.005628e+00
1.267094e-01	2.550477e-02	4.772978e-01	4.779789e-01
1.270000e-01	2.232161e-02	5.207421e-01	5.212203e-01
1.280000e-01	-3.992776e-02	1.027663e+00	1.028438e+00
1.284947e-01	1.638473e-02	5.652074e-01	5.654449e-01
1.290000e-01	1.910624e-02	5.546741e-01	5.550031e-01
1.300000e-01	-3.885690e-02	1.007382e+00	1.008131e+00
1.302549e-01	-1.156684e-02	7.897431e-01	7.898278e-01
1.306373e-01	-4.980547e-02	1.105291e+00	1.106414e+00
1.310000e-01	-2.687615e-03	7.436205e-01	7.436253e-01
1.312500e-01	2.023850e-02	5.323977e-01	5.327822e-01
1.320000e-01	2.023497e-02	5.325379e-01	5.329223e-01
1.323333e-01	-2.742908e-02	9.195442e-01	9.199534e-01
1.326667e-01	-4.647008e-02	1.073096e+00	1.074102e+00
1.330000e-01	1.437391e-02	5.618118e-01	5.619957e-01
1.333542e-01	1.027559e-01	2.199501e-01	2.427690e-01
1.336992e-01	7.551466e-02	2.201413e-01	2.327331e-01
1.340000e-01	6.416611e-03	5.959229e-01	5.959577e-01
1.342928e-01	-4.023425e-02	9.473428e-01	9.481972e-01
1.350000e-01	-9.097720e-02	1.413040e+00	1.415966e+00
1.352813e-01	1.056594e-01	4.795934e-01	4.910947e-01
1.355313e-01	6.662179e-02	3.435072e-01	3.499081e-01
1.357949e-01	3.821765e-02	4.866561e-01	4.881548e-01
1.360000e-01	2.275028e-02	4.411992e-01	4.417854e-01
1.363890e-01	4.007599e-02	3.833336e-01	3.854229e-01
1.370000e-01	3.805225e-02	4.015569e-01	4.033558e-01
1.372624e-01	3.845693e-02	4.175525e-01	4.193199e-01
1.375257e-01	3.479122e-02	4.770161e-01	4.782835e-01
1.380000e-01	3.126772e-02	4.666905e-01	4.677369e-01
1.385860e-01	-1.454016e-01	1.833042e+00	1.838799e+00
1.388817e-01	1.425146e-02	6.078130e-01	6.079801e-01
